artist Id,influencer 1,influencer 2,influencer 3,influencer 4,influencer 5
389445,548221,874459,411093,999659,983003
390392,548221,874459,411093,441435,175764
511147,548221,874459,411093,441435,999659
532992,548221,874459,411093,441435,999659
